Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,Price,Sqm_price,log_sqm_price,Price_development,Owner_expense,Sqm_owner_expenses,Yearly_expenses,First_year_expenses,Sqm_yearly_expenses,log_sqm_yearly_exp,Energy_saving,Days_on_market,School_dist,Metro_dist,Jail_dist,Centrum_coor
"Paulas Passage 3, 2",1799,København,55.666240922804796,12.531350715102867,2,5,122,0,6495000,53237,10.882508922311336,0.0,5078,41.622950819672134,281430.0,601430.0,2306.803278688525,7.7436179830548495,8.0,0,1.4592237968840895,1.6810597674073569,0.594570771639548,2.944603993910743
"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,2,53,0,3045000,57452,10.958705095551712,0.0,2023,38.16981132075472,127650.0,277650.0,2408.490566037736,7.786755509117508,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 2",1799,København,55.66660999491417,12.531336266056249,2,5,122,0,7295000,59795,10.998677324402909,0.0,5078,41.622950819672134,308550.0,668550.0,2529.098360655738,7.835618139015956,8.0,0,1.4300711814379599,1.6402706911536076,0.6249195639446146,2.917578063177046
"Paulas Passage 3, 3",1799,København,55.666293818654296,12.53138730042002,3,2,53,0,3445000,65000,11.082142548877776,0.0,2023,38.16981132075472,141210.0,311210.0,2664.339622641509,7.887711509511177,8.0,0,1.453347741484578,1.6749716288027323,0.5971360325175511,2.938920322686056
"Paulas Passage 3, 5",1799,København,55.666247605965616,12.5314308581851,5,4,93,0,5395000,58010,10.968370688460109,0.0,3807,40.935483870967744,228888.0,493888.0,2461.1612903225805,7.808388586773603,8.0,0,1.4552444590866185,1.6798249786260349,0.5915454770977995,2.9403934979876745
"Paulas Passage 3, 3",1799,København,55.666240922804796,12.531350715102867,3,5,122,0,7995000,65532,11.090293851940157,0.0,5078,41.622950819672134,332280.0,727280.0,2723.606557377049,7.909712221219753,8.0,0,1.4592237968840895,1.6810597674073569,0.594570771639548,2.944603993910743
"Paulas Passage 3, 5",1799,København,55.66629518973862,12.53133969966086,5,4,93,0,5145000,55322,10.920925938415131,0.0,3807,40.935483870967744,220248.0,475248.0,2368.2580645161293,7.7699099700137015,8.0,0,1.4552838305905442,1.6751173351475326,0.5993456456907474,2.941021664319653
"Paulas Passage 3, 5",1799,København,55.66745284376803,12.53173043153657,5,3,80,0,5245000,65562,11.090751538798802,0.0,2896,36.2,212706.0,472706.0,2658.825,7.8856395748612975,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,3145000,59339,10.99102204166372,0.0,2023,38.16981132075472,131040.0,286040.0,2472.4528301886794,7.812965985534775,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 2",1799,København,55.66624229387407,12.53130311440603,2,5,122,0,7495000,61434,11.025718706802873,0.0,5078,41.622950819672134,315330.0,685330.0,2584.6721311475408,7.857353943752253,8.0,0,1.461156204701895,1.68120851357443,0.5967999322027371,2.9467033178403828
"Paulas Passage 3, 1",1799,København,55.66745284376803,12.53173043153657,1,5,81,0,5045000,62283,11.039443794344661,0.0,3807,47.0,216858.0,466858.0,2677.259259259259,7.892548885771319,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 4",1799,København,55.666701963202755,12.531265016515341,4,3,80,0,4945000,61812,11.031852799353583,0.0,3225,40.3125,206484.0,451484.0,2581.05,7.855951571867276,8.0,0,1.4258816570753345,1.6305541464442779,0.635515215920726,2.9140635259668466
"Paulas Passage 3, 3",1799,København,55.66663415766963,12.531433894160712,3,2,53,0,3645000,68773,11.138566505035513,0.0,2023,38.16981132075472,147990.0,327990.0,2792.264150943396,7.9346080693437715,8.0,0,1.4238646903464256,1.636975353106121,0.6227974094391066,2.9112160185446316
"Paulas Passage 3, 4",1799,København,55.666313126374675,12.53134131681666,4,3,80,0,4695000,58687,10.979973516212516,0.0,3225,40.3125,198174.0,428174.0,2477.175,7.814874076973583,8.0,0,1.453758219006204,1.673120206408702,0.6006971328515788,2.9395956881898715
"Paulas Passage 3, 1",1799,København,55.666706361241324,12.531424495964188,1,4,93,0,5445000,58548,10.977602209603836,0.0,3807,40.935483870967744,230418.0,500418.0,2477.612903225807,7.815050836599019,8.0,0,1.4185088048464147,1.6290350814065897,0.629203434094892,2.90627021011419
"Paulas Passage 3, 2",1799,København,55.66745284376803,12.53173043153657,2,3,80,0,4345000,54312,10.902500475981483,0.0,2042,25.525,171948.0,386948.0,2149.35,7.6729207498307215,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 4",1799,København,55.666679456291334,12.5314220701384,4,3,80,0,4895000,61187,11.0216900276358,0.0,3225,40.3125,204954.0,444954.0,2561.925,7.848514208023504,8.0,0,1.4207615713470125,1.632030850848693,0.627059254064805,2.9083885704085404
"Paulas Passage 3, 3",1799,København,55.66626554260004,12.53143247537972,3,5,122,0,7495000,61434,11.025718706802873,0.0,5078,41.622950819672134,315330.0,685330.0,2584.6721311475408,7.857353943752253,8.0,0,1.4537119302323929,1.6778274959075368,0.5928978851984583,2.938963816030589
"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,2,53,0,3095000,58396,10.975002673319874,0.0,2023,38.16981132075472,129510.0,279510.0,2443.584905660377,7.801221463665511,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 6",1799,København,55.66745284376803,12.53173043153657,6,4,93,0,4695000,50483,10.829391924926254,0.0,3807,40.935483870967744,205158.0,435158.0,2206.0,7.698936199813447,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 1",1799,København,55.66629244755155,12.53143490117507,1,4,93,0,5545000,59623,10.995796684651122,0.0,3807,40.935483870967744,233808.0,508808.0,2514.064516129032,7.8296560515611775,8.0,0,1.4514152680443626,1.6748312812098811,0.5949333341984974,2.9368205407954284
"Paulas Passage 3, 2",1799,København,55.6667948454669,12.53116203239689,2,5,122,0,7395000,60614,11.012281168477989,0.0,5078,41.622950819672134,311940.0,676940.0,2556.8852459016393,7.846545095872559,8.0,0,1.423107701606579,1.6209747052705004,0.647537718764261,2.912012320524899
"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,3045000,57452,10.958705095551712,0.0,2023,38.16981132075472,127650.0,277650.0,2408.490566037736,7.786755509117508,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,2,53,0,3195000,60283,11.006805419252558,0.0,2023,38.16981132075472,132900.0,287900.0,2507.547169811321,7.827060331149214,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 2",1799,København,55.66745284376803,12.53173043153657,2,3,80,0,5245000,65562,11.090751538798802,0.0,3225,40.3125,216654.0,476654.0,2708.175,7.904030255282425,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 5",1799,København,55.66745284376803,12.53173043153657,5,3,80,0,4295000,53687,10.890926165528413,0.0,3225,40.3125,184614.0,394614.0,2307.675,7.743995803154631,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 5",1799,København,55.66745284376803,12.53173043153657,5,3,80,0,4445000,55562,10.925254793340631,0.0,3225,40.3125,189534.0,409534.0,2369.175,7.7702970722620455,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Harsdorffsvej 4B, 3 MF",1874,Frederiksberg,55.67920418891305,12.54639646326173,3,2,67,0,2850000,42537,10.658129564405668,0.0,2839,42.37313432835821,130848.0,270848.0,1952.955223880597,7.577099003773402,3.0,0,0.37897996450577426,0.5187005644858207,1.668484401245867,1.337723974093832
"Paulas Passage 3, 6",1799,København,55.66745284376803,12.53173043153657,6,4,93,0,4895000,52634,10.871117577739868,0.0,3807,40.935483870967744,211938.0,451938.0,2278.903225806452,7.731449564898036,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 5",1799,København,55.66665483650201,12.531340308992892,5,4,93,0,5345000,57473,10.95907055128778,0.0,3807,40.935483870967744,227028.0,492028.0,2441.1612903225805,7.800229143721165,8.0,0,1.4263145719398342,1.6352784573674233,0.6284456327766716,2.91404573526503
"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,3095000,58396,10.975002673319874,0.0,2023,38.16981132075472,129510.0,279510.0,2443.584905660377,7.801221463665511,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
Rebæk Søpark 3,2650,Hvidovre,55.66348946583747,12.457215794433802,0,1,44,8938,995000,22613,10.026280241122992,0.0,1272,28.90909090909091,49308.0,94308.0,1120.6363636363637,7.021651984753149,3.0,0,1.1265949213495996,3.400360250865239,5.087293843869243,7.207109795896868
