,Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,log_sqm_price,Sqm_price,Price,Owner_expense,Price_development,Energy_saving,Days_on_market,School_dist,Metro_dist,Jail_dist,Centrum_coor
95,Amager Strandvej 190B,2300,Tårnby,55.65540500628567,12.63747183007713,0,3,86,0,10.746196327732315,46453,3995000,3555,0.0,2.0,0,0.8341709575824076,0.3830867283058042,4.4716120584258015,5.532893010684062
96,"Monica Zetterlunds Vej 17, th",2450,København,55.646462,12.547626,0,4,114,0,10.854083088102273,51745,5899000,4426,0.0,5.0,0,1.6419164186430644,2.406310041121237,1.881208614331411,4.350246737660529
97,"Tinghøjvej 49A, 1 mf",2860,Gladsaxe,55.74048720472076,12.49418239656983,1,2,65,0,10.555395985079477,38384,2495000,2285,0.0,7.0,0,0.7224326982379509,5.925247643658458,6.98748680254783,7.717772570549038
98,"Spinderigade 12, 1 TH",2500,København,55.66499987487767,12.51132259220235,1,3,94,0,10.657259354912508,42500,3995000,4031,0.0,4.0,0,0.8154016127540716,2.027443436548773,1.7043364602899302,4.035574152405723
99,"Hyacintgården 17, st 3",2300,Tårnby,55.64925578042148,12.611887543984619,0,1,35,0,10.438283576940698,34142,1195000,1762,0.0,4.0,0,1.4466611028192584,1.4563533636473671,3.501604450161698,4.850920406403589
100,Christiansgave 54,2960,Hørsholm,55.871422649386346,12.55148965558594,0,5,228,0,11.158433850118685,70153,15995000,8885,0.0,2.0,1,2.5657012747144967,20.847760383319628,20.095192173889792,20.867950773897867
101,"Oehlenschlægersgade 23, st tv",1663,København,55.67055011097635,12.549956135036528,0,4,74,0,10.76276338968274,47229,3495000,3262,0.0,3.0,1,0.5889591367215588,1.2749476307026657,1.172067121519568,1.8130597298288023
102,"Saltholmsvej 7, 3 TV",2300,Tårnby,55.65936206626691,12.609160922341108,3,2,47,0,10.550355164741893,38191,1795000,2069,0.0,3.0,1,2.0443505839203704,0.5787740041739938,2.6780267726175135,3.8835873847214355
103,"Markskellet 15, st tv",2720,Frederiksberg,55.69436478520289,12.49184537571136,0,2,59,0,10.47751330218821,35508,2095000,2169,0.0,4.0,1,0.6906157793525793,0.7884097823684314,4.468510113314896,4.785592837468284
104,"H.C. Ørsteds Vej 27, 5 39",1879,Frederiksberg,55.679298064212006,12.54750299971186,5,2,73,0,10.747336615509568,46506,3395000,2793,0.0,2.0,1,0.3869311076533601,0.4565745500581171,1.618288465008316,1.2701586759683805
