Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,log_sqm_price,Sqm_price,Price,Owner_expense,Yearly_expenses,First_year_expenses,log_yearly_sqm_exp,Price_development,Energy_saving,Days_on_market
"Heimdalsgade 42, 1 3",2200,Frederiksberg,55.70277483563858,12.5456512114618,1,1,48,0,10.379317923304855,32187,1545000,1953,75960.0,150960.0,7.366761154018331,0.0,2.0,1
"Godthåbsvænget 35, 3 tv",2000,Frederiksberg,55.69185727097429,12.52011549681987,3,3,87,0,10.571880868629844,39022,3395000,4659,171312.0,336312.0,7.585333615743467,0.0,4.0,1
"Odensegade 17, 5 tv",2100,København,55.7001395261962,12.58034543030411,5,5,139,0,10.638016570874843,41690,5795000,5437,262008.0,547008.0,7.541656383497523,0.0,4.0,1
"Roskildevej 287, st TH",2610,Rødovre,55.67234320749782,12.47195060386135,0,3,66,0,10.540143743537802,37803,2495000,3527,127218.0,247218.0,7.56400268728418,0.0,2.0,1
"Dronning Olgas Vej 37, 2",2000,Frederiksberg,55.68867849452724,12.53528517852824,2,4,110,0,10.905955980651335,54500,5995000,3709,248052.0,543052.0,7.72091331479482,0.0,2.0,1
"Hovedvejen 146, 3 h",2600,Albertslund,55.66602671978908,12.39180596567078,3,3,79,0,10.138678244761005,25303,1999000,1858,90058.8,190058.8,7.038770216849404,0.0,3.0,1
"Cypernsvej 29, 3 tv",2300,Tårnby,55.65246382194822,12.61957814659198,3,4,78,0,10.555734610523901,38397,2995000,2532,132228.0,277228.0,7.435574157586186,0.0,3.0,1
"Pærevangen 28, 1 TH",2765,Egedal,55.74280465395248,12.31468281588011,1,4,95,0,10.050052389617964,23157,2200000,4099,123768.0,233768.0,7.1722872327983636,0.0,4.0,1
"Skodsborgparken 40, 1 tv",2942,Rudersdal,55.82441125625551,12.5727090180794,1,5,113,0,10.827706770732405,50398,5695000,5526,259686.0,539686.0,7.739840669129596,0.0,4.0,1
"Jagtvej 215A, 6 1",2100,København,55.70909127957935,12.5743169042702,6,3,70,0,10.714084379851219,44985,3149000,2999,142570.8,302570.8,7.619098755361574,0.0,4.0,1
"Spaden D 1, 2 3",2630,Høje-Taastrup,55.65084767829583,12.27785205685028,2,4,120,0,9.693260226488464,16208,1945000,4229,116832.0,211832.0,6.881000541673317,0.0,4.0,1
"Matthæusgade 14, 4 tv",1666,København,55.6698975135833,12.55013562369869,4,3,79,0,10.779726826283932,48037,3795000,2624,160452.0,345452.0,7.616302258935645,0.0,3.0,1
"Vejlegårdsparken 52, st 4",2665,Vallensbæk,55.62452716991658,12.38093958583171,0,2,47,0,10.223866701574616,27553,1295000,1848,66390.0,126390.0,7.253154120003146,0.0,3.0,1
"Vester Søgade 18, 1 th",1601,København,55.67681892315284,12.55951511095444,1,4,111,0,10.714417768752456,45000,4995000,8339,269712.0,514712.0,7.795579800707755,0.0,3.0,1
"Saven B 1, st 4",2630,Høje-Taastrup,55.65133191574772,12.27924409596747,0,1,36,0,9.937599082164896,20694,745000,1753,46440.0,81440.0,7.162397497355718,0.0,4.0,1
"Vindebyvej 1, st th",2730,Herlev,55.72514998462314,12.43037482840752,0,2,51,0,10.255235378138305,28431,1450000,2020,73560.0,143560.0,7.274031045993931,0.0,1.0,1
"Spaden B 4, 3 2",2630,Høje-Taastrup,55.65144577888885,12.27599400619009,3,4,98,0,9.921180112067047,20357,1995000,4374,120432.0,215432.0,7.113873078603741,0.0,3.0,1
