Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,Price,Sqm_price,log_sqm_price,Price_development,Owner_expense,Sqm_owner_expenses,Yearly_expenses,First_year_expenses,Sqm_yearly_expenses,log_sqm_yearly_exp,Energy_saving,Days_on_market,School_dist,Metro_dist,Jail_dist,Centrum_coor
"Højagerparken 27, st tv",2750,Egedal,55.735350246331826,12.36067643154469,0,4,106,0,2295000,21650,9.982760733430638,-4.2,4892,46.150943396226424,136818.0,246818.0,1290.7358490566035,7.162967760350138,1.0,155,2.3226511181528147,9.78776201732859,13.620039235937467,14.095072036487672
"Bækkeskovvej 15, 1 TH",2665,Vallensbæk,55.61868171748291,12.38261258712911,1,2,90,0,1950000,21666,9.983499490505512,0.0,2451,27.23333333333333,95682.0,190682.0,1063.1333333333334,6.968975801645763,3.0,486,1.0798855697324978,10.245653178982502,10.933470807513874,13.641668809080127
"Vejlegårdsparken 60, 2 Lejl. 27",2665,Vallensbæk,55.62474855790269,12.38008469558765,2,3,86,0,1869000,21732,9.986541107671414,0.0,3327,38.68604651162791,103180.8,198180.8,1199.7767441860465,7.089890771955664,3.0,44,1.050841214215284,9.864096182238699,10.795269346430187,13.430421444856211
"Hedekæret 12, 2 TH",2640,Roskilde,55.65509373643221,12.19741004268759,2,3,73,0,1595000,21849,9.991910432886023,0.0,2934,40.19178082191781,89592.0,164592.0,1227.2876712328764,7.112561868114137,3.0,39,3.7643580447604714,18.822134638751656,21.454764411699625,23.403190237682928
"Taastrup Have 9, st TH",2630,Høje-Taastrup,55.65271523252048,12.29705780163423,0,4,82,0,1795000,21890,9.993785190516908,0.0,2295,27.98780487804878,88704.0,173704.0,1081.7560975609756,6.986341015845268,3.0,3,0.6443987213172736,12.800649664954172,15.206358608163939,17.267343185111088
"Topperne 11, 3 33",2620,Albertslund,55.672419785503074,12.343008005088553,3,4,97,0,2145000,22113,10.0039209498574,0.0,3465,35.72164948453608,114444.0,219444.0,1179.8350515463915,7.073129920863532,4.0,27,2.4942687585374435,9.460346952138448,12.322192918282244,14.074491465876957
"Hedekæret 10, 2 TV",2640,Roskilde,55.65496606767375,12.197479135107699,2,3,70,0,1549000,22128,10.00459905390454,-4.7,3330,47.57142857142857,92302.8,172302.8,1318.6114285714286,7.184334513842781,3.0,84,3.7572506306776137,18.820609765145665,21.45100213749721,23.400892307132672
"Gammelgårds Alle 27, st 4",2665,Vallensbæk,55.62707853359365,12.382971074181981,0,3,88,0,1950000,22159,10.005999013489204,0.0,3536,40.18181818181818,108702.0,203702.0,1235.25,7.11902865772586,3.0,59,0.9252336103894302,9.552301211400572,10.528012914129363,13.14493187349008
"Rebæk Søpark 4, 414",2650,Hvidovre,55.66329970900021,12.456292380498214,4,1,44,0,975000,22159,10.005999013489204,0.0,1352,30.72727272727273,49524.0,94524.0,1125.5454545454545,7.0260230456223205,3.0,2,1.1386556478568368,3.453371505227388,5.144981101665908,7.268929043565098
"Hedekæret 27, st tv",2640,Roskilde,55.6542623615352,12.19481392281448,0,3,76,5028,1695000,22302,10.012431639525307,0.0,2465,32.43421052631579,87354.0,167354.0,1149.3947368421052,7.04699076701505,3.0,14,3.9076783525036176,19.000414405723554,21.62198856375952,23.578125736230394
"Lindevangshusene 88, 1 th",2630,Høje-Taastrup,55.64397769954358,12.28762699701243,1,4,94,15199,2100000,22340,10.014134072623193,0.0,2766,29.425531914893607,104382.0,209382.0,1110.4468085106382,7.0125177435026025,3.0,123,1.3079781289686607,13.681054741801072,15.896734530964546,18.06679412858642
"Vejlebrovej 60, 2 TV",2635,Ishøj,55.61186508528299,12.36077091769856,2,2,77,0,1725000,22402,10.016905519571683,0.0,2642,34.31168831168832,90264.0,175264.0,1172.2597402597405,7.066688566964598,4.0,21,1.7883282169799841,11.739749429354779,12.503991855116947,15.210666031269875
Egebo 27A,2620,Albertslund,55.66595442895622,12.340070214317567,0,5,147,9000,3295000,22414,10.017441042611972,-2.9,4488,30.530612244897966,165870.0,325870.0,1128.3673469387754,7.028527041221353,5.0,289,2.8173647225455656,9.792479009666797,12.46419140382101,14.343622880303224
"Egedal 3, 3 2",2690,Solrød,55.56781478954679,12.25334645774081,3,3,119,0,2675000,22478,10.020292332078213,0.0,2310,19.41176470588235,118650.0,248650.0,997.0588235294116,6.904809768752379,5.0,157,5.157540042207928,20.02983876070129,20.804467686320105,23.561061168571968
"Taastrup Vænge 53, st TH",2630,Høje-Taastrup,55.64375684667865,12.29217106466341,0,4,100,0,2250000,22500,10.021270588192511,0.0,3600,36.0,119640.0,229640.0,1196.4,7.087072326755793,2.0,56,1.081885473903928,13.422725943762186,15.616439753406588,17.79612047215044
"Vejlebrovej 103, st th",2635,Ishøj,55.61904003775432,12.36764521185649,0,2,93,0,2095000,22526,10.022425476607642,-4.6,3062,32.924731182795696,108078.0,208078.0,1162.1290322580646,7.058008974498358,4.0,128,1.9199108292517268,10.868230143619584,11.768124448659547,14.426692790208257
"Brøndbyvestervej 68C, 2 4",2605,Brøndby,55.65715199539913,12.41029701065387,2,3,82,21270,1849000,22548,10.023401649201467,0.0,3980,48.536585365853654,110272.8,205272.8,1344.790243902439,7.203993327385192,4.0,16,1.1017187762062248,6.090416078397469,8.061201882354277,10.234274091967462
Rebæk Søpark 3,2650,Hvidovre,55.66348946583747,12.457215794433804,0,1,44,8938,995000,22613,10.026280241122992,0.0,1272,28.90909090909091,49308.0,94308.0,1120.6363636363637,7.021651984753149,3.0,0,1.1265949213495996,3.400360250865239,5.087293843869244,7.2071097958968675
"Rebæk Søpark 3, 8 821",2650,Hvidovre,55.66348946583747,12.457215794433804,8,1,44,0,995000,22613,10.026280241122992,-5.2,2020,45.90909090909091,58284.0,103284.0,1324.6363636363635,7.188893258215484,3.0,38,1.1265949213495996,3.400360250865239,5.087293843869244,7.2071097958968675
Maglekæret 8G,2680,Solrød,55.52172042461108,12.207652375186939,0,3,77,0,1750000,22727,10.031308923974013,-1.4,3093,40.16883116883117,96606.0,181606.0,1254.6233766233765,7.13459070821931,4.0,88,0.7451784294419939,25.63592215793248,26.065546440983372,28.92394164019549
"Rebæk Søpark 19, 6 TV",2650,Hvidovre,55.66200901315315,12.455510460339001,6,4,101,0,2298000,22752,10.032408332602968,-3.2,3483,34.48514851485149,119691.6,234691.6,1185.0653465346534,7.077553196803797,4.0,51,1.0512055908148457,3.5961303586046034,5.193682168682333,7.362565274963468
Mølledammen 1G,2980,Hørsholm,55.903756080389826,12.4867446552876,0,4,114,0,2595000,22763,10.032891689747393,0.0,4161,36.5,138216.0,263216.0,1212.421052631579,7.1003745094601225,4.0,44,0.6499169472091127,24.10167097739943,24.15681476295124,24.946057788434313
"Måløv Hovedgade 56, 2 tv",2760,Ballerup,55.749222747565184,12.319722814713993,2,2,56,3833,1275000,22767,10.033067398072024,0.0,3402,60.75,84294.0,144294.0,1505.25,7.316714276344558,3.0,78,0.8796639395171042,12.786532052370708,16.584040854605135,17.07563230464931
"Hedekæret 9, 2 th",2640,Roskilde,55.65430494752128,12.19766371972766,2,2,70,2992,1595000,22785,10.033857703697985,0.0,3320,47.42857142857143,94224.0,169224.0,1346.057142857143,7.204934963134992,2.0,32,3.7319019091196455,18.82358748658853,21.442565438491613,23.399927871252352
"Hedekæret 10, 1 TV",2640,Roskilde,55.65496606767375,12.197479135107699,1,3,70,0,1595000,22785,10.033857703697985,0.0,2507,35.81428571428572,84468.0,159468.0,1206.6857142857145,7.095632801346773,3.0,9,3.7572506306776137,18.820609765145665,21.45100213749721,23.400892307132672
"Hedekæret 8, 2 th",2640,Roskilde,55.65483839887957,12.197548227092055,2,3,70,0,1595000,22785,10.033857703697985,0.0,2907,41.52857142857143,89268.0,164268.0,1275.2571428571428,7.150903117929982,3.0,7,3.7501886644876423,18.819096507979907,21.447249504646074,23.39860359300461
"Østerparken 3, st 1",2630,Høje-Taastrup,55.65110181079176,12.30522217855375,0,1,37,0,845000,22837,10.036137306631591,0.0,1254,33.89189189189189,43842.0,83842.0,1184.918918918919,7.077429628375048,2.0,56,0.16129779261055216,12.369258604273696,14.708483089485853,16.803358496256973
"Rebæk Søpark 3, 15 Lejl. 1511",2650,Hvidovre,55.66348946583747,12.457215794433804,1,2,61,8938,1395000,22868,10.037493832383863,0.0,1774,29.081967213114748,68892.0,133892.0,1129.377049180328,7.0294214757823275,3.0,35,1.1265949213495996,3.400360250865239,5.087293843869244,7.2071097958968675
