date,identifier,type,value,country
1864-01-19,BE000006447,TMAX,4.9,BE
1864-01-19,AGE00135039,TMAX,12.0,AG
1864-01-19,GME00125218,TMAX,-4.8,GM
1864-01-19,EZE00100082,TMAX,-12.2,EZ
1864-01-19,ITE00100554,TMAX,-2.5,IT
1864-01-19,ASN00066062,TMAX,26.8,AS
1864-01-19,AU000005901,TMAX,-8.4,AU
1864-01-19,GM000004204,TMAX,-3.0,GM
1864-01-19,UK000047811,TMAX,8.0,UK
1864-01-19,UK000056225,TMAX,9.4,UK
1864-01-19,SZ000006717,TMAX,-7.4,SZ
1864-01-20,ITE00100550,TMAX,-0.9,IT
1864-01-20,ASN00086071,TMAX,25.0,AS
1864-01-20,CA006158350,TMAX,-2.8,CA
1864-01-20,EIE00101859,TMAX,6.7,EI
1864-01-20,BE000006447,TMAX,6.6,BE
1864-01-20,AGE00135039,TMAX,12.5,AG
1864-01-20,GME00125218,TMAX,0.8,GM
1864-01-20,EZE00100082,TMAX,-6.1,EZ
1864-01-20,ITE00100554,TMAX,-2.1,IT
1864-01-20,ASN00066062,TMAX,33.9,AS
1864-01-20,AU000005901,TMAX,-4.3,AU
1864-01-20,GM000004204,TMAX,1.8,GM
1864-01-20,UK000047811,TMAX,6.4,UK
1864-01-20,UK000056225,TMAX,10.5,UK
1864-01-20,SZ000006717,TMAX,-3.3,SZ
1864-01-21,ITE00100550,TMAX,-0.4,IT
1864-01-21,ASN00086071,TMAX,23.2,AS
1864-01-21,CA006158350,TMAX,0.0,CA
1864-01-21,EIE00101859,TMAX,6.1,EI
1864-01-21,BE000006447,TMAX,8.7,BE
1864-01-21,AGE00135039,TMAX,12.5,AG
1864-01-21,GME00125218,TMAX,2.1,GM
1864-01-21,EZE00100082,TMAX,-1.9,EZ
1864-01-21,ITE00100554,TMAX,-0.4,IT
1864-01-21,ASN00066062,TMAX,25.3,AS
1864-01-21,AU000005901,TMAX,-5.5,AU
1864-01-21,GM000004204,TMAX,2.6,GM
1864-01-21,UK000047811,TMAX,9.6,UK
1864-01-21,UK000056225,TMAX,12.1,UK
1864-01-21,SZ000006717,TMAX,-1.3,SZ
1864-01-22,ITE00100550,TMAX,0.9,IT
1864-01-22,ASN00086071,TMAX,26.1,AS
1864-01-22,CA006158350,TMAX,1.7,CA
1864-01-22,EIE00101859,TMAX,6.7,EI
1864-01-22,BE000006447,TMAX,10.3,BE
1864-01-22,AGE00135039,TMAX,12.5,AG
1864-01-22,GME00125218,TMAX,5.3,GM
1864-01-22,EZE00100082,TMAX,4.9,EZ
1864-01-22,ITE00100554,TMAX,2.1,IT
1864-01-22,ASN00066062,TMAX,25.7,AS
1864-01-22,AU000005901,TMAX,-3.4,AU
1864-01-22,GM000004204,TMAX,6.0,GM
1864-01-22,UK000047811,TMAX,10.2,UK
1864-01-22,UK000056225,TMAX,9.4,UK
1864-01-22,SZ000006717,TMAX,-2.7,SZ
1864-01-23,ITE00100550,TMAX,2.5,IT
1864-01-23,ASN00086071,TMAX,21.1,AS
1864-01-23,CA006158350,TMAX,5.6,CA
1864-01-23,EIE00101859,TMAX,9.4,EI
1864-01-23,BE000006447,TMAX,9.8,BE
1864-01-23,AGE00135039,TMAX,13.0,AG
1864-01-23,GME00125218,TMAX,8.3,GM
1864-01-23,EZE00100082,TMAX,6.6,EZ
1864-01-23,ITE00100554,TMAX,2.2,IT
1864-01-23,ASN00066062,TMAX,28.8,AS
1864-01-23,AU000005901,TMAX,0.3,AU
1864-01-23,GM000004204,TMAX,8.8,GM
1864-01-23,UK000047811,TMAX,8.5,UK
1864-01-23,UK000056225,TMAX,7.2,UK
1864-01-23,SZ000006717,TMAX,-1.2,SZ
1864-01-24,ITE00100550,TMAX,3.9,IT
1864-01-24,ASN00086071,TMAX,23.6,AS
1864-01-24,CA006158350,TMAX,6.7,CA
1864-01-24,EIE00101859,TMAX,9.4,EI
1864-01-24,BE000006447,TMAX,6.6,BE
1864-01-24,GME00125218,TMAX,6.6,GM
1864-01-24,EZE00100082,TMAX,7.7,EZ
1864-01-24,ITE00100554,TMAX,2.2,IT
1864-01-24,ASN00066062,TMAX,30.6,AS
1864-01-24,AU000005901,TMAX,10.0,AU
1864-01-24,GM000004204,TMAX,8.0,GM
1864-01-24,UK000047811,TMAX,7.6,UK
1864-01-24,UK000056225,TMAX,8.7,UK
1864-01-24,SZ000006717,TMAX,-3.0,SZ
1864-01-25,ITE00100550,TMAX,3.8,IT
1864-01-25,ASN00086071,TMAX,27.2,AS
1864-01-25,CA006158350,TMAX,4.4,CA
1864-01-25,EIE00101859,TMAX,8.3,EI
1864-01-25,BE000006447,TMAX,4.7,BE
1864-01-25,AGE00135039,TMAX,11.5,AG
1864-01-25,GME00125218,TMAX,4.0,GM
1864-01-25,EZE00100082,TMAX,6.2,EZ
1864-01-25,ITE00100554,TMAX,4.3,IT
1864-01-25,ASN00066062,TMAX,26.7,AS
1864-01-25,AU000005901,TMAX,6.6,AU
1864-01-25,GM000004204,TMAX,5.1,GM
1864-01-25,UK000047811,TMAX,8.0,UK
1864-01-25,UK000056225,TMAX,8.8,UK
1864-01-25,SZ000006717,TMAX,-3.0,SZ
1864-01-26,ITE00100550,TMAX,5.3,IT
1864-01-26,ASN00086071,TMAX,18.9,AS
1864-01-26,CA006158350,TMAX,3.3,CA
1864-01-26,EIE00101859,TMAX,9.4,EI
1864-01-26,BE000006447,TMAX,5.7,BE
1864-01-26,AGE00135039,TMAX,12.5,AG
1864-01-26,GME00125218,TMAX,3.3,GM
1864-01-26,EZE00100082,TMAX,4.6,EZ
1864-01-26,ITE00100554,TMAX,5.8,IT
1864-01-26,ASN00066062,TMAX,34.3,AS
1864-01-26,AU000005901,TMAX,5.5,AU
1864-01-26,GM000004204,TMAX,4.1,GM
1864-01-26,UK000047811,TMAX,10.3,UK
1864-01-26,UK000056225,TMAX,10.5,UK
1864-01-26,SZ000006717,TMAX,-1.8,SZ
1864-01-27,ITE00100550,TMAX,4.4,IT
1864-01-27,ASN00086071,TMAX,20.5,AS
1864-01-27,CA006158350,TMAX,6.1,CA
1864-01-27,EIE00101859,TMAX,8.9,EI
1864-01-27,BE000006447,TMAX,6.7,BE
1864-01-27,AGE00135039,TMAX,13.5,AG
1864-01-27,GME00125218,TMAX,3.6,GM
1864-01-27,EZE00100082,TMAX,5.0,EZ
1864-01-27,ITE00100554,TMAX,3.7,IT
1864-01-27,ASN00066062,TMAX,25.5,AS
1864-01-27,AU000005901,TMAX,7.5,AU
1864-01-27,GM000004204,TMAX,5.9,GM
1864-01-27,UK000047811,TMAX,10.4,UK
1864-01-27,UK000056225,TMAX,8.8,UK
1864-01-27,SZ000006717,TMAX,-1.4,SZ
1864-01-28,ITE00100550,TMAX,4.6,IT
1864-01-28,ASN00086071,TMAX,21.7,AS
1864-01-28,CA006158350,TMAX,6.7,CA
1864-01-28,EIE00101859,TMAX,9.4,EI
1864-01-28,BE000006447,TMAX,7.0,BE
1864-01-28,AGE00135039,TMAX,13.5,AG
1864-01-28,GME00125218,TMAX,6.6,GM
1864-01-28,EZE00100082,TMAX,7.2,EZ
1864-01-28,ITE00100554,TMAX,6.2,IT
1864-01-28,ASN00066062,TMAX,25.7,AS
1864-01-28,AU000005901,TMAX,9.6,AU
1864-01-28,GM000004204,TMAX,7.8,GM
1864-01-28,UK000047811,TMAX,8.6,UK
1864-01-28,UK000056225,TMAX,3.4,UK
1864-01-28,SZ000006717,TMAX,-2.6,SZ
1864-01-29,ITE00100550,TMAX,3.5,IT
1864-01-29,ASN00086071,TMAX,20.5,AS
1864-01-29,CA006158350,TMAX,3.3,CA
1864-01-29,EIE00101859,TMAX,10.0,EI
1864-01-29,BE000006447,TMAX,1.0,BE
1864-01-29,AGE00135039,TMAX,13.5,AG
1864-01-29,GME00125218,TMAX,3.3,GM
1864-01-29,EZE00100082,TMAX,4.0,EZ
1864-01-29,ITE00100554,TMAX,1.9,IT
1864-01-29,ASN00066062,TMAX,27.2,AS
1864-01-29,AU000005901,TMAX,5.6,AU
1864-01-29,GM000004204,TMAX,3.6,GM
1864-01-29,UK000047811,TMAX,9.6,UK
1864-01-29,UK000056225,TMAX,2.7,UK
1864-01-29,SZ000006717,TMAX,-9.2,SZ
1864-01-30,ITE00100550,TMAX,3.1,IT
1864-01-30,ASN00086071,TMAX,22.2,AS
1864-01-30,CA006158350,TMAX,0.0,CA
1864-01-30,EIE00101859,TMAX,10.6,EI
1864-01-30,BE000006447,TMAX,1.6,BE
1864-01-30,AGE00135039,TMAX,12.5,AG
1864-01-30,GME00125218,TMAX,-1.6,GM
1864-01-30,EZE00100082,TMAX,-1.0,EZ
1864-01-30,ITE00100554,TMAX,3.9,IT
1864-01-30,ASN00066062,TMAX,22.8,AS
1864-01-30,AU000005901,TMAX,-1.0,AU
1864-01-30,GM000004204,TMAX,-0.9,GM
1864-01-30,UK000047811,TMAX,9.6,UK
1864-01-30,UK000056225,TMAX,6.2,UK
1864-01-30,SZ000006717,TMAX,-8.3,SZ
1864-01-31,ITE00100550,TMAX,0.1,IT
1864-01-31,ASN00086071,TMAX,29.4,AS
1864-01-31,CA006158350,TMAX,2.8,CA
1864-01-31,EIE00101859,TMAX,10.0,EI
1864-01-31,BE000006447,TMAX,1.5,BE
1864-01-31,GME00125218,TMAX,-0.5,GM
1864-01-31,EZE00100082,TMAX,-0.4,EZ
1864-01-31,ITE00100554,TMAX,1.2,IT
1864-01-31,ASN00066062,TMAX,26.6,AS
1864-01-31,AU000005901,TMAX,-3.0,AU
1864-01-31,GM000004204,TMAX,1.6,GM
1864-01-31,UK000047811,TMAX,10.7,UK
1864-01-31,UK000056225,TMAX,9.6,UK
1864-01-31,SZ000006717,TMAX,-3.0,SZ
1864-02-01,ITE00100550,TMAX,1.3,IT
1864-02-01,ASN00086071,TMAX,26.1,AS
1864-02-01,CA006158350,TMAX,6.1,CA
1864-02-01,EIE00101859,TMAX,9.4,EI
1864-02-01,BE000006447,TMAX,1.7,BE
